State_Name,State_District_Name,QQ_Institutional_Delivery_Total,QQ_Institutional_Delivery_Rural,QQ_Institutional_Delivery_Urban,QQ_Delivery_At_Government_Institution_Total,QQ_Delivery_At_Government_Institution_Rural,QQ_Delivery_At_Government_Institution_Urban,QQ_Delivery_At_Private_Institution_Total,QQ_Delivery_At_Private_Institution_Rural,QQ_Delivery_At_Private_Institution_Urban,QQ_Delivery_At_Home_Total,QQ_Delivery_At_Home_Rural,QQ_Delivery_At_Home_Urban,QQ_Delivery_At_Home_Conducted_By_Skilled_Health_Personnel_Total,QQ_Delivery_At_Home_Conducted_By_Skilled_Health_Personnel_Rural,QQ_Delivery_At_Home_Conducted_By_Skilled_Health_Personnel_Urban,QQ_Safe_Delivery_Total,QQ_Safe_Delivery_Rural,QQ_Safe_Delivery_Urban,QQ_Caesarean_Out_Of_Total_Delivery_Taken_Place_In_Government_Institutions_Total,QQ_Caesarean_Out_Of_Total_Delivery_Taken_Place_In_Government_Institutions_Rural,QQ_Caesarean_Out_Of_Total_Delivery_Taken_Place_In_Government_Institutions_Urban,QQ_Caesarean_Out_Of_Total_Delivery_Taken_Place_In_Private_Institutions_Total,QQ_Caesarean_Out_Of_Total_Delivery_Taken_Place_In_Private_Institutions_Rural,QQ_Caesarean_Out_Of_Total_Delivery_Taken_Place_In_Private_Institutions_Urban
Madhya Pradesh,Jabalpur,80.4,81.1,79.9,60.2,74,49.8,20.2,7.1,30.1,15.3,18.6,12.8,31.6,23.8,40.2,83.1,83.4,82.8,9.6,6.4,13.1,33.4,42.6,31.8
Madhya Pradesh,Jhabua,79.3,77.8,94.5,64.9,64.2,71.7,13.9,13.1,21.9,20.5,22,5.5,51.5,51.5,50,89.9,89.1,97.3,7,6.8,8.3,16.2,12.7,38.3
Madhya Pradesh,Katni,79.6,77.8,85.8,71.6,73.9,64.1,7.9,3.9,21.4,20.3,22.1,14,35.7,32.8,51.5,85.1,83.5,90.7,3.2,2.3,6.4,38.2,39.4,37.5
Madhya Pradesh,Mandla,64.8,61.7,95.1,55.8,54.5,68.9,8.7,7,25.6,35.1,38.2,4.9,36.5,36.6,26.7,74,71.7,96.4,5.1,4.8,7,43.5,48.9,29.1
Madhya Pradesh,Mandsaur,90.2,89.1,93.8,83.9,84.7,81.3,6.3,4.4,12.5,9.7,10.9,6,63.4,65,53.8,96.4,96.1,97.1,6.1,5.2,8.9,26.2,24,28.8
Madhya Pradesh,Morena,92.5,91.6,94.8,83.7,86.7,75.6,8.2,4.3,18.7,7.4,8.2,5.2,38.7,38.9,37.9,95.4,94.8,96.8,3,3.1,2.8,26.8,28.5,25.7
Madhya Pradesh,Narsimhapur,90.4,90,92.9,70.9,73.5,55.4,19.4,16.4,37.4,9.5,9.9,7.1,37.9,37.3,42.9,92,91.5,94.9,6.6,6.3,8.6,20.1,18.4,24.5
Madhya Pradesh,Neemuch,87.1,85.2,90.4,71.4,75.6,64.2,15.2,9,25.8,12.8,14.7,9.5,55,56,52.4,94.1,93.4,95.4,4.5,3.5,6.5,22.1,17.3,25
Madhya Pradesh,Panna,78.4,76.8,88.8,71.1,69.6,81.2,7.1,7,7.2,21.2,22.8,11.2,44,44.9,32.1,85.1,83.9,92.4,4.6,4,7.9,33.3,31.5,44.4
Madhya Pradesh,Raisen,79.3,76.4,91.3,71.2,70.4,74.6,7.8,5.9,15.7,19,21.5,8.4,44.4,43.7,52,84.1,81.5,94.6,3.6,3.4,4.5,18.8,15.9,23.4
Madhya Pradesh,Rajgarh,89.1,88,96.1,82.8,82.7,83.7,6.1,5.1,12.4,10.7,11.8,3.9,57.5,55.8,92.3,95.3,94.6,99.7,6.6,6,10.5,31.9,29,40
Madhya Pradesh,Ratlam,93.7,92.7,95.2,82.5,89.4,72.1,11,3.2,23,6.3,7.2,4.8,52.9,43.6,74.5,97,95.8,98.8,5.1,3.2,8.7,26.2,18.8,27.8
Madhya Pradesh,Rewa,82.2,81.5,86.7,75,75.5,72.1,7.1,5.9,14.6,17.8,18.5,13.3,37.9,38.6,31.3,87.5,87.2,89.6,4.4,3.8,8.7,28,21.4,45.7
